BLE1,BLE2,BLE3,BLE4,BLE5,PRED
-58.0,-57.0,-63.0,-58.0,-68.0,1.0
-56.0,-62.0,-63.0,-73.0,-68.0,1.0
-55.0,-61.0,-54.0,-73.0,-74.0,1.0
-64.0,-58.0,-54.0,-58.0,-73.0,1.0
-63.0,-58.0,-62.0,-74.0,-67.0,1.0
-54.0,-58.0,-62.0,-74.0,-67.0,1.0
-54.0,-60.0,-54.0,-58.0,-74.0,1.0
-53.0,-60.0,-54.0,-57.0,-74.0,1.0
-54.0,-59.0,-59.0,-72.0,-75.0,1.0
-54.0,-59.0,-62.0,-71.0,-75.0,1.0
-54.0,-62.0,-62.0,-70.0,-72.0,1.0
-62.0,-62.0,-54.0,-71.0,-72.0,1.0
-61.0,-57.0,-54.0,-58.0,-77.0,1.0
-54.0,-58.0,-62.0,-76.0,-77.0,1.0
-54.0,-61.0,-62.0,-75.0,-72.0,1.0
-56.0,-60.0,-59.0,-71.0,-72.0,1.0
-58.0,-57.0,-59.0,-70.0,-67.0,1.0
-54.0,-56.0,-63.0,-58.0,-67.0,1.0
-54.0,-56.0,-63.0,-57.0,-78.0,1.0
-63.0,-56.0,-54.0,-69.0,-78.0,1.0
-63.0,-57.0,-59.0,-70.0,-68.0,1.0
-54.0,-55.0,-59.0,-75.0,-68.0,1.0
-53.0,-61.0,-63.0,-76.0,-72.0,1.0
-63.0,-61.0,-59.0,-77.0,-71.0,1.0
-62.0,-59.0,-59.0,-77.0,-68.0,1.0
-57.0,-59.0,-54.0,-78.0,-68.0,1.0
-57.0,-61.0,-54.0,-71.0,-78.0,1.0
-56.0,-58.0,-59.0,-70.0,-72.0,1.0
-56.0,-58.0,-59.0,-58.0,-78.0,1.0
-54.0,-61.0,-53.0,-58.0,-78.0,1.0
-56.0,-61.0,-53.0,-71.0,-68.0,1.0
-54.0,-54.0,-62.0,-71.0,-68.0,1.0
-53.0,-54.0,-62.0,-58.0,-72.0,1.0
-54.0,-58.0,-59.0,-58.0,-72.0,1.0
-54.0,-58.0,-59.0,-71.0,-79.0,1.0
-53.0,-61.0,-62.0,-71.0,-78.0,1.0
-53.0,-61.0,-59.0,-77.0,-72.0,1.0
-54.0,-58.0,-59.0,-77.0,-72.0,1.0
-54.0,-58.0,-54.0,-57.0,-68.0,1.0
-54.0,-61.0,-54.0,-57.0,-68.0,1.0
-53.0,-61.0,-62.0,-77.0,-79.0,1.0
-54.0,-54.0,-62.0,-57.0,-78.0,1.0
-54.0,-54.0,-54.0,-57.0,-79.0,1.0
