Be07,Be08,Be09,Be10,Be11,Sector
-97.0,-95.0,-96.0,-97.0,-106.0,4
-106.0,-106.0,-106.0,-108.0,-100.0,4
-100.0,-93.0,-93.0,-99.0,-96.0,5
-92.0,-94.0,-93.0,-97.0,-94.0,5
-91.0,-94.0,-95.0,-95.0,-93.0,5
-94.0,-99.0,-96.0,-92.0,-90.0,5
-91.0,-94.0,-92.0,-95.0,-97.0,5
-95.0,-95.0,-95.0,-93.0,-93.0,5
-93.0,-90.0,-94.0,-94.0,-90.0,5
-89.0,-91.0,-91.0,-89.0,-90.0,5
-89.0,-90.0,-90.0,-88.0,-92.0,5
-93.0,-92.0,-92.0,-91.0,-91.0,5
-93.0,-91.0,-91.0,-94.0,-91.0,5
-91.0,-92.0,-93.0,-91.0,-89.0,5
-87.0,-87.0,-88.0,-90.0,-93.0,5
-93.0,-90.0,-89.0,-96.0,-103.0,5
-96.0,-95.0,-91.0,-90.0,-90.0,5
-95.0,-94.0,-94.0,-99.0,-92.0,5
-92.0,-93.0,-99.0,-96.0,-93.0,5
-97.0,-94.0,-94.0,-95.0,-95.0,5
-97.0,-96.0,-92.0,-94.0,-95.0,5
-96.0,-95.0,-96.0,-100.0,-99.0,5
-94.0,-94.0,-103.0,-104.0,-100.0,5
-103.0,-99.0,-99.0,-98.0,-98.0,5
-99.0,-101.0,-100.0,-98.0,-98.0,5
-96.0,-100.0,-97.0,-99.0,-98.0,5
-97.0,-97.0,-97.0,-98.0,-99.0,5
-101.0,-105.0,-104.0,-100.0,-100.0,5
-100.0,-103.0,-103.0,-101.0,-99.0,5
-98.0,-100.0,-102.0,-103.0,-108.0,5
-102.0,-101.0,-104.0,-106.0,-102.0,5
-105.0,-105.0,-107.0,-102.0,-102.0,5
-106.0,-106.0,-104.0,-106.0,-104.0,5
-106.0,-102.0,-104.0,-103.0,-105.0,5
-103.0,-102.0,-102.0,-105.0,-106.0,5
-109.0,-110.0,-109.0,-107.0,-106.0,5
-91.0,-95.0,-93.0,-94.0,-95.0,6
-95.0,-97.0,-98.0,-95.0,-97.0,6
-95.0,-97.0,-98.0,-100.0,-101.0,6
-99.0,-99.0,-100.0,-100.0,-104.0,6
