Be07,Be08,Be09,Be10,Be11,Sector
-54,-58,-53,-68,-72,1
-52,-58,-53,-68,-71,1
-52,-61,-61,-70,-71,1
-54,-61,-60,-70,-72,1
-54,-58,-53,-59,-72,1
-66,-58,-53,-59,-69,1
-66,-58,-61,-71,-69,1
-54,-58,-60,-70,-72,1
-54,-58,-60,-68,-72,1
-65,-58,-59,-68,-71,1
-54,-58,-60,-71,-71,1
-54,-57,-60,-70,-72,1
-65,-58,-53,-71,-71,1
-65,-58,-53,-68,-71,1
-52,-58,-60,-68,-72,1
-52,-62,-60,-70,-72,1
-54,-61,-53,-68,-69,1
-52,-58,-53,-68,-69,1
-52,-58,-60,-70,-71,1
-65,-62,-61,-68,-72,1
-65,-61,-60,-68,-72,1
-53,-58,-53,-59,-69,1
-54,-61,-53,-59,-69,1
-54,-61,-60,-68,-71,1
-54,-58,-60,-71,-71,1
-65,-58,-53,-71,-69,1
-54,-58,-53,-69,-69,1
-54,-58,-60,-68,-71,1
-54,-58,-60,-71,-71,1
-54,-58,-60,-68,-72,1
-52,-58,-53,-68,-72,1
-65,-58,-53,-69,-69,1
-65,-58,-59,-69,-71,1
-53,-62,-59,-59,-71,1
-53,-62,-53,-59,-71,1
-52,-58,-53,-71,-71,1
-52,-58,-59,-69,-69,1
-53,-58,-59,-68,-69,1
-53,-58,-53,-71,-71,1
-66,-58,-53,-70,-71,1
-53,-58,-59,-69,-72,1
-53,-62,-59,-69,-72,1
-53,-62,-59,-71,-71,1
-53,-58,-59,-68,-71,1
-66,-58,-59,-68,-71,1
-53,-58,-59,-68,-71,1
-53,-58,-61,-68,-72,1
-65,-58,-61,-59,-72,1
-53,-58,-59,-59,-69,1
-52,-62,-59,-70,-69,1
-52,-58,-61,-70,-72,1
-66,-58,-61,-68,-72,1
-65,-58,-59,-68,-69,1
-54,-57,-59,-71,-69,1
-54,-58,-59,-70,-71,1
-52,-58,-59,-59,-71,1
-52,-61,-61,-59,-72,1
-65,-58,-60,-70,-72,1
-65,-58,-53,-70,-69,1
-52,-62,-53,-68,-69,1
-52,-58,-61,-68,-72,1
-53,-58,-60,-70,-73,1
-53,-58,-53,-69,-69,1
-52,-62,-53,-68,-72,1
